,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
,Aaron McKie_2005,PHI,32,68,35,33,1126,152,            61,            142,43.0,            20,            62,32.3,10,16,62.5,            20,            152,            172,            103,            31,            48,            17,            116,            676.9,0,0,11
,Aaron Williams_2005,TOR,33,42,13,29,312,73,            29,            63,46.0,            0,            0,0.0,15,17,88.2,            17,            43,            60,            8,            17,            5,            8,            70,            179.0,0,0,-136
,Adonal Foyle_2005,GSW,30,78,31,47,1701,352,            156,            311,50.2,            0,            0,0.0,40,72,55.6,            165,            264,            429,            56,            58,            26,            159,            201,            1447.8,3,0,-26
,Adrian Griffin_2005,CHI,30,69,38,31,658,151,            58,            161,36.0,            2,            9,22.2,33,44,75.0,            52,            94,            146,            53,            30,            43,            4,            78,            516.7,0,0,40
,Al Harrington_2005,ATL,25,66,10,56,2546,1158,            453,            986,45.9,            16,            74,21.6,236,351,67.2,            145,            316,            461,            208,            204,            85,            16,            249,            2122.2,12,0,-513
,Al Jefferson_2005,BOS,20,71,39,32,1044,475,            195,            369,52.8,            0,            3,0.0,85,135,63.0,            119,            193,            312,            24,            66,            22,            55,            195,            1050.4,3,0,-44
,Alan Henderson_2005,DAL,32,78,55,23,1196,273,            116,            220,52.7,            0,            2,0.0,41,76,53.9,            164,            184,            348,            21,            49,            29,            37,            149,            871.1,2,0,-162
,Aleksandar Radojevic_2005,UTA,28,12,1,11,128,19,            6,            19,31.6,            0,            0,0.0,7,10,70.0,            9,            19,            28,            6,            15,            0,            2,            32,            52.6,0,0,-14
,Alex Garcia_2005,NOH,25,8,0,8,146,44,            18,            52,34.6,            5,            18,27.8,3,4,75.0,            7,            8,            15,            18,            8,            4,            1,            15,            96.0,0,0,-37
,Allan Houston_2005,NYK,34,20,8,12,534,237,            85,            205,41.5,            31,            80,38.8,36,43,83.7,            4,            19,            23,            42,            21,            8,            2,            40,            336.6,0,0,24
,Allen Iverson_2005,PHI,30,75,41,34,3176,2302,            771,            1818,42.4,            104,            338,30.8,656,786,83.5,            51,            248,            299,            596,            344,            180,            9,            140,            3777.8,24,0,12
,Alonzo Mourning_2005,MIA,35,37,17,20,704,282,            100,            212,47.2,            0,            0,0.0,82,141,58.2,            53,            145,            198,            18,            57,            8,            74,            82,            735.6,4,0,-46
,Amar'e Stoudemire_2005,PHX,22,80,60,20,2885,2080,            747,            1336,55.9,            3,            16,18.8,583,795,73.3,            219,            494,            713,            131,            189,            77,            130,            278,            3564.1,27,0,606
,Anderson Varejao_2005,CLE,22,54,27,27,869,266,            99,            193,51.3,            0,            2,0.0,68,127,53.5,            109,            148,            257,            27,            26,            41,            38,            122,            825.9,0,0,84
,Andre Barrett_2005,ORL,23,38,17,21,477,118,            45,            124,36.3,            14,            52,26.9,14,19,73.7,            11,            29,            40,            69,            27,            19,            1,            51,            302.5,1,0,26
,Andre Emmett_2005,MEM,22,8,5,3,26,7,            2,            6,33.3,            0,            0,0.0,3,5,60.0,            0,            2,            2,            0,            1,            0,            0,            4,            8.4,0,0,-7
,Andre Iguodala_2005,PHI,21,82,43,39,2681,741,            269,            546,49.3,            47,            142,33.1,156,210,74.3,            89,            375,            464,            246,            139,            138,            48,            204,            2085.8,5,1,-18
,Andre Miller_2005,DEN,29,82,49,33,2849,1113,            427,            895,47.7,            6,            39,15.4,253,302,83.8,            100,            238,            338,            569,            220,            121,            8,            204,            2539.1,13,0,174
,Andrei Kirilenko_2005,UTA,24,41,15,26,1353,640,            207,            420,49.3,            23,            77,29.9,203,259,78.4,            89,            166,            255,            132,            90,            67,            136,            101,            1663.0,7,0,89
,Andres Nocioni_2005,CHI,25,81,47,34,1895,677,            241,            601,40.1,            25,            97,25.8,170,222,76.6,            69,            317,            386,            122,            135,            37,            34,            208,            1401.2,3,0,-178
,Andrew DeClercq_2005,ORL,32,8,4,4,51,9,            4,            9,44.4,            0,            0,0.0,1,3,33.3,            7,            3,            10,            0,            1,            2,            0,            14,            26.0,0,0,-16
,Andris Biedrins_2005,GSW,19,30,17,13,382,109,            45,            78,57.7,            0,            1,0.0,19,40,47.5,            47,            71,            118,            12,            12,            12,            24,            87,            364.6,1,0,44
