,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
,AJ Hammons_2017,DAL,24,22,4,18,163,48,            17,            42,40.5,            5,            10,50.0,9,20,45.0,            8,            28,            36,            4,            10,            1,            13,            21,            129.2,0,0,-5
,Aaron Brooks_2017,IND,32,65,36,29,894,322,            121,            300,40.3,            48,            128,37.5,32,40,80.0,            18,            51,            69,            125,            66,            25,            9,            93,            628.3,0,0,-32
,Aaron Gordon_2017,ORL,21,80,29,51,2298,1019,            393,            865,45.4,            77,            267,28.8,156,217,71.9,            116,            289,            405,            150,            89,            65,            40,            172,            1956.0,7,0,-163
,Aaron Harrison_2017,CHA,22,5,2,3,17,1,            0,            4,0.0,            0,            2,0.0,1,2,50.0,            0,            3,            3,            3,            0,            0,            0,            2,            9.1,0,0,-5
,Adreian Payne_2017,MIN,26,18,5,13,135,63,            23,            54,42.6,            3,            15,20.0,14,19,73.7,            9,            24,            33,            7,            8,            8,            7,            32,            150.1,0,0,8
,Al Horford_2017,BOS,31,68,46,22,2193,952,            379,            801,47.3,            86,            242,35.5,108,135,80.0,            95,            370,            465,            337,            115,            52,            86,            138,            2314.5,8,0,215
,Al Jefferson_2017,IND,32,66,33,33,931,535,            235,            471,49.9,            0,            1,0.0,65,85,76.5,            75,            203,            278,            57,            33,            19,            16,            125,            1026.1,1,0,-98
,Al-Farouq Aminu_2017,POR,26,61,33,28,1773,532,            183,            466,39.3,            70,            212,33.0,96,136,70.6,            77,            374,            451,            99,            94,            60,            44,            102,            1439.7,4,0,22
,Alan Anderson_2017,LAC,34,30,20,10,308,86,            30,            80,37.5,            14,            44,31.8,12,16,75.0,            3,            21,            24,            11,            7,            3,            0,            35,            133.3,0,0,-77
,Alan Williams_2017,PHX,24,47,11,36,708,346,            138,            267,51.7,            0,            1,0.0,70,112,62.5,            94,            198,            292,            23,            37,            27,            32,            125,            870.9,15,0,2
,Alec Burks_2017,UTA,25,42,26,16,653,283,            99,            248,39.9,            25,            76,32.9,60,78,76.9,            17,            103,            120,            30,            35,            18,            5,            50,            506.0,0,0,1
,Alex Abrines_2017,OKC,23,68,37,31,1055,406,            134,            341,39.3,            94,            247,38.1,44,49,89.8,            18,            68,            86,            40,            33,            37,            8,            114,            671.2,0,0,1
,Alex Len_2017,PHX,24,77,21,56,1560,613,            230,            463,49.7,            3,            12,25.0,150,208,72.1,            156,            354,            510,            44,            102,            38,            98,            242,            1597.0,11,0,-397
,Alex Poythress_2017,PHI,23,6,0,6,157,64,            25,            54,46.3,            6,            19,31.6,8,10,80.0,            11,            18,            29,            5,            3,            3,            2,            14,            118.3,0,0,-36
,Alexis Ajinca_2017,NOP,29,39,15,24,584,207,            89,            178,50.0,            0,            4,0.0,29,40,72.5,            46,            131,            177,            12,            31,            20,            22,            77,            532.4,1,0,-60
,Allen Crabbe_2017,POR,25,79,39,40,2254,845,            303,            647,46.8,            134,            302,44.4,105,124,84.7,            19,            207,            226,            94,            62,            54,            20,            171,            1417.2,0,0,-117
,Alonzo Gee_2017,DEN,30,13,4,9,89,11,            3,            14,21.4,            0,            3,0.0,5,9,55.6,            4,            11,            15,            6,            4,            5,            1,            14,            52.0,0,0,-18
,Amir Johnson_2017,BOS,30,80,51,29,1608,520,            213,            370,57.6,            27,            66,40.9,67,100,67.0,            118,            248,            366,            140,            77,            51,            62,            211,            1431.2,0,0,208
,Anderson Varejao_2017,GSW,34,14,12,2,92,18,            5,            14,35.7,            0,            0,0.0,8,11,72.7,            12,            15,            27,            10,            8,            3,            3,            16,            75.4,0,0,-30
,Andre Drummond_2017,DET,23,81,36,45,2409,1105,            483,            911,53.0,            2,            7,28.6,137,355,38.6,            345,            770,            1115,            90,            152,            124,            89,            237,            3065.0,49,0,-275
,Andre Iguodala_2017,GSW,33,76,64,12,1998,574,            219,            415,52.8,            64,            177,36.2,72,102,70.6,            51,            253,            304,            261,            58,            76,            39,            97,            1617.3,0,0,527
,Andre Roberson_2017,OKC,25,79,46,33,2376,522,            215,            463,46.4,            45,            184,24.5,47,111,42.3,            98,            305,            403,            79,            51,            94,            79,            204,            1592.1,2,0,145
,Andrew Bogut_2017,CLE,32,27,8,19,583,79,            38,            81,46.9,            0,            1,0.0,3,11,27.3,            56,            162,            218,            49,            43,            13,            25,            86,            485.1,0,0,-34
,Andrew Harrison_2017,MEM,22,72,38,34,1474,425,            117,            360,32.5,            43,            156,27.6,148,194,76.3,            23,            113,            136,            198,            85,            53,            21,            194,            1022.2,0,0,-26
,Andrew Nicholson_2017,BKN,27,38,20,18,342,100,            43,            111,38.7,            5,            27,18.5,9,14,64.3,            15,            46,            61,            10,            17,            16,            6,            55,            237.2,0,0,-129
,Andrew Wiggins_2017,MIN,22,82,31,51,3048,1933,            709,            1570,45.2,            103,            289,35.6,412,542,76.0,            102,            226,            328,            189,            187,            82,            30,            183,            2759.1,1,0,-17
,Anthony Bennett_2017,BKN,24,23,3,20,264,115,            38,            92,41.3,            13,            48,27.1,26,36,72.2,            25,            53,            78,            12,            12,            5,            3,            18,            238.6,0,0,-68
,Anthony Brown_2017,ORL,24,11,3,8,159,43,            18,            50,36.0,            7,            27,25.9,0,0,0.0,            8,            25,            33,            8,            6,            5,            1,            15,            106.6,0,0,4
,Anthony Davis_2017,NOP,24,75,31,44,2708,2099,            770,            1526,50.5,            40,            134,29.9,519,647,80.2,            172,            712,            884,            157,            181,            94,            167,            168,            3997.3,49,0,51
,Anthony Morrow_2017,CHI,31,49,25,24,714,271,            98,            252,38.9,            41,            133,30.8,34,37,91.9,            12,            19,            31,            25,            6,            24,            2,            44,            417.7,0,0,21
,Anthony Tolliver_2017,SAC,32,65,26,39,1477,461,            155,            351,44.2,            90,            230,39.1,61,82,74.4,            51,            186,            237,            77,            56,            34,            20,            109,            966.9,1,0,-99
,Archie Goodwin_2017,BKN,22,15,8,7,214,110,            36,            66,54.5,            5,            15,33.3,33,42,78.6,            7,            21,            28,            24,            14,            4,            5,            8,            192.6,0,0,-36
,Arinze Onuaku_2017,ORL,29,8,3,5,28,4,            2,            4,50.0,            0,            0,0.0,0,0,0.0,            2,            4,            6,            2,            2,            0,            1,            3,            15.2,0,0,-15
,Aron Baynes_2017,DET,30,75,34,41,1163,365,            143,            279,51.3,            0,            0,0.0,79,94,84.0,            111,            222,            333,            32,            50,            17,            39,            166,            930.6,2,0,137
,Arron Afflalo_2017,SAC,31,61,23,38,1580,515,            185,            420,44.0,            62,            151,41.1,83,93,89.2,            9,            116,            125,            78,            42,            21,            6,            104,            821.0,0,0,-247
,Austin Rivers_2017,LAC,24,74,43,31,2054,889,            323,            731,44.2,            111,            299,37.1,132,191,69.1,            20,            141,            161,            204,            115,            48,            10,            187,            1447.2,0,0,-6
,Avery Bradley_2017,BOS,26,55,34,21,1834,894,            359,            775,46.3,            108,            277,39.0,68,93,73.1,            65,            269,            334,            122,            88,            68,            11,            141,            1626.8,10,0,72
,Axel Toupane_2017,NOP,24,4,2,2,47,11,            5,            9,55.6,            1,            4,25.0,0,0,0.0,            0,            1,            1,            0,            0,            1,            1,            6,            18.2,0,0,-11
,Ben Bentil_2017,DAL,22,3,2,1,10,0,            0,            3,0.0,            0,            1,0.0,0,0,0.0,            0,            2,            2,            0,            1,            0,            0,            1,            1.4,0,0,-12
,Ben McLemore_2017,SAC,24,61,27,34,1176,495,            180,            419,43.0,            65,            170,38.2,70,93,75.3,            19,            110,            129,            51,            62,            29,            6,            108,            769.3,1,0,-135
,Beno Udrih_2017,DET,34,39,18,21,560,227,            92,            197,46.7,            11,            32,34.4,32,34,94.1,            6,            51,            57,            131,            36,            13,            0,            29,            494.9,0,0,86
,Bismack Biyombo_2017,ORL,24,81,29,52,1793,483,            179,            339,52.8,            0,            0,0.0,125,234,53.4,            157,            410,            567,            74,            95,            25,            91,            202,            1527.4,10,0,-346
,Blake Griffin_2017,LAC,28,61,40,21,2076,1316,            479,            971,49.3,            38,            113,33.6,320,421,76.0,            112,            385,            497,            300,            142,            57,            22,            157,            2457.4,19,1,442
,Boban Marjanovic_2017,DET,28,35,16,19,293,191,            72,            132,54.5,            0,            0,0.0,47,58,81.0,            46,            84,            130,            9,            10,            6,            12,            25,            404.5,5,0,32
,Bobby Brown_2017,HOU,32,25,18,7,123,62,            23,            60,38.3,            14,            35,40.0,2,2,100,            0,            6,            6,            14,            5,            1,            0,            5,            88.2,0,0,-34
,Bobby Portis_2017,CHI,22,64,30,34,1000,437,            183,            375,48.8,            32,            96,33.3,39,59,66.1,            75,            221,            296,            35,            37,            16,            11,            94,            888.7,5,0,-80
,Bojan Bogdanovic_2017,WAS,28,81,23,58,2083,1113,            376,            845,44.5,            144,            392,36.7,217,243,89.3,            37,            240,            277,            111,            131,            34,            7,            146,            1603.9,0,0,-264
,Boris Diaw_2017,UTA,35,73,45,28,1283,338,            146,            327,44.6,            20,            81,24.7,26,35,74.3,            46,            112,            158,            170,            87,            18,            9,            83,            776.6,0,0,20
,Bradley Beal_2017,WAS,24,77,48,29,2684,1779,            637,            1322,48.2,            223,            552,40.4,282,342,82.5,            53,            187,            240,            267,            156,            83,            21,            169,            2623.5,1,0,334
,Brandan Wright_2017,MEM,29,28,14,14,447,189,            83,            135,61.5,            0,            1,0.0,23,35,65.7,            31,            47,            78,            15,            10,            11,            20,            42,            388.1,0,0,35
,Brandon Bass_2017,LAC,32,52,29,23,577,292,            107,            186,57.5,            1,            3,33.3,77,88,87.5,            43,            86,            129,            21,            29,            14,            11,            45,            524.3,0,0,-145
,Brandon Ingram_2017,LAL,19,79,26,53,2279,740,            276,            686,40.2,            55,            187,29.4,133,214,62.1,            60,            256,            316,            166,            116,            50,            36,            158,            1510.2,0,0,-383
,Brandon Jennings_2017,WAS,27,81,37,44,1801,577,            192,            535,35.9,            79,            252,31.3,114,152,75.0,            29,            167,            196,            395,            128,            70,            4,            116,            1498.7,3,0,-63
,Brandon Knight_2017,PHX,25,54,16,38,1140,595,            209,            525,39.8,            45,            139,32.4,132,154,85.7,            25,            93,            118,            130,            88,            27,            5,            87,            939.6,0,0,-326
,Brandon Rush_2017,MIN,31,47,15,32,1030,197,            70,            187,37.4,            44,            114,38.6,13,18,72.2,            16,            83,            99,            45,            28,            22,            23,            42,            490.3,0,0,-40
,Brian Roberts_2017,CHA,31,41,16,25,416,142,            46,            122,37.7,            17,            44,38.6,33,39,84.6,            5,            34,            39,            52,            26,            9,            1,            18,            270.8,0,0,-58
,Briante Weber_2017,CHA,24,20,12,8,205,62,            25,            60,41.7,            1,            10,10.0,11,16,68.8,            8,            18,            26,            21,            8,            12,            1,            16,            155.7,0,0,-50
,Brice Johnson_2017,LAC,23,3,1,2,9,4,            2,            7,28.6,            0,            0,0.0,0,0,0.0,            1,            2,            3,            1,            1,            2,            1,            0,            17.1,0,0,7
,Brook Lopez_2017,BKN,29,75,20,55,2222,1539,            555,            1172,47.4,            134,            387,34.6,295,364,81.0,            121,            282,            403,            176,            184,            38,            124,            192,            2588.6,2,0,-156
,Bruno Caboclo_2017,TOR,21,9,8,1,40,14,            6,            16,37.5,            2,            6,33.3,0,0,0.0,            5,            5,            10,            4,            2,            2,            1,            4,            39.0,0,0,1
,Bryn Forbes_2017,SAS,23,36,24,12,285,94,            36,            99,36.4,            17,            53,32.1,5,6,83.3,            2,            21,            23,            23,            11,            1,            0,            20,            148.1,0,0,-51
,Buddy Hield_2017,SAC,24,82,31,51,1888,866,            327,            767,42.6,            148,            379,39.1,64,76,84.2,            35,            234,            269,            121,            101,            38,            9,            115,            1410.3,0,0,-212
,C.J. Watson_2017,ORL,33,62,20,42,1013,281,            96,            248,38.7,            32,            105,30.5,57,66,86.4,            16,            73,            89,            114,            47,            43,            2,            84,            646.8,0,0,-186
,C.J. Wilcox_2017,ORL,26,22,8,14,108,21,            8,            31,25.8,            3,            15,20.0,2,2,100,            4,            8,            12,            12,            6,            2,            1,            8,            56.4,0,0,-17
,CJ McCollum_2017,POR,25,80,40,40,2796,1837,            692,            1441,48.0,            185,            439,42.1,268,294,91.2,            60,            229,            289,            285,            172,            72,            42,            202,            2781.3,1,0,61
,CJ Miles_2017,IND,30,76,39,37,1776,815,            281,            647,43.4,            169,            409,41.3,84,93,90.3,            30,            199,            229,            48,            40,            46,            25,            151,            1334.8,0,0,76
,Cameron Payne_2017,CHI,22,31,16,15,462,160,            64,            193,33.2,            27,            86,31.4,5,8,62.5,            3,            45,            48,            55,            29,            14,            4,            52,            325.1,0,0,-69
,Caris LeVert_2017,BKN,22,57,15,42,1237,468,            171,            380,45.0,            59,            184,32.1,67,93,72.0,            23,            165,            188,            110,            59,            49,            8,            91,            970.6,0,0,-92
,Carmelo Anthony_2017,NYK,33,74,29,45,2538,1659,            602,            1389,43.3,            151,            421,35.9,304,365,83.3,            62,            376,            438,            213,            153,            60,            34,            198,            2633.1,7,0,-233
,Chandler Parsons_2017,MEM,28,34,18,16,675,210,            75,            222,33.8,            25,            93,26.9,35,43,81.4,            6,            78,            84,            55,            24,            20,            5,            52,            444.3,0,0,-47
,Channing Frye_2017,CLE,34,74,44,30,1398,676,            238,            520,45.8,            137,            335,40.9,63,74,85.1,            37,            253,            290,            45,            53,            33,            37,            138,            1248.5,2,0,59
,Chasson Randle_2017,NYK,24,26,8,18,299,137,            40,            98,40.8,            16,            47,34.0,41,43,95.3,            6,            26,            32,            34,            19,            9,            2,            39,            240.4,0,0,-10
,Cheick Diallo_2017,NOP,20,17,9,8,199,87,            36,            76,47.4,            0,            0,0.0,15,21,71.4,            23,            50,            73,            4,            7,            4,            7,            17,            206.6,3,0,-53
,Chinanu Onuaku_2017,HOU,20,5,2,3,52,14,            5,            7,71.4,            0,            0,0.0,4,4,100,            2,            8,            10,            3,            4,            3,            1,            6,            38.5,0,0,-45
,Chris Andersen_2017,CLE,38,12,8,4,114,28,            9,            22,40.9,            0,            3,0.0,10,14,71.4,            9,            22,            31,            5,            5,            5,            7,            20,            103.7,0,0,8
,Chris McCullough_2017,WAS,22,16,1,15,80,36,            16,            32,50.0,            1,            7,14.3,3,5,60.0,            9,            10,            19,            2,            3,            2,            2,            7,            70.8,0,0,50
,Chris Paul_2017,LAC,32,61,43,18,1921,1104,            374,            785,47.6,            124,            302,41.1,232,260,89.2,            40,            264,            304,            563,            147,            119,            8,            146,            2547.3,24,1,579
,Christian Wood_2017,CHA,21,13,5,8,107,35,            12,            23,52.2,            0,            5,0.0,11,15,73.3,            14,            15,            29,            2,            7,            3,            6,            11,            92.8,0,0,19
,Clint Capela_2017,HOU,23,65,44,21,1551,818,            362,            563,64.3,            0,            0,0.0,94,177,53.1,            178,            348,            526,            63,            87,            34,            79,            179,            1795.7,15,0,215
