,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
,AJ Price_2012,IND,25,44,27,17,568,172,            59,            174,33.9,            26,            88,29.5,28,35,80.0,            13,            48,            61,            86,            32,            20,            2,            30,            408.2,0,0,36
,Aaron Gray_2012,TOR,27,49,17,32,813,191,            83,            161,51.6,            0,            0,0.0,25,47,53.2,            83,            198,            281,            27,            51,            22,            17,            127,            634.7,2,0,-153
,Al Harrington_2012,DEN,32,64,36,28,1761,910,            345,            773,44.6,            101,            303,33.3,119,176,67.6,            72,            318,            390,            88,            112,            58,            12,            181,            1608.0,9,0,166
,Al Horford_2012,ATL,26,11,7,4,348,136,            57,            103,55.3,            0,            1,0.0,22,30,73.3,            26,            51,            77,            24,            16,            10,            14,            21,            320.4,2,0,52
,Al Jefferson_2012,UTA,27,61,32,29,2075,1170,            516,            1048,49.2,            1,            4,25.0,137,177,77.4,            133,            452,            585,            134,            62,            47,            101,            155,            2455.0,31,0,159
,Al-Farouq Aminu_2012,NOH,21,66,21,45,1477,399,            150,            365,41.1,            13,            47,27.7,86,114,75.4,            95,            213,            308,            66,            91,            59,            34,            136,            1055.6,2,0,-34
,Alan Anderson_2012,TOR,29,17,7,10,461,163,            55,            142,38.7,            24,            61,39.3,29,34,85.3,            8,            26,            34,            26,            25,            5,            3,            35,            241.8,0,0,-25
,Alec Burks_2012,UTA,20,59,33,26,939,425,            153,            357,42.9,            15,            45,33.3,104,143,72.7,            57,            75,            132,            55,            51,            27,            5,            84,            710.9,0,0,-25
,Alonzo Gee_2012,CLE,25,63,20,43,1827,665,            227,            551,41.2,            44,            137,32.1,167,212,78.8,            101,            221,            322,            113,            114,            83,            17,            149,            1406.9,2,0,-215
,Amar'e Stoudemire_2012,NYK,29,47,22,25,1543,823,            316,            654,48.3,            5,            21,23.8,186,243,76.5,            106,            261,            367,            52,            112,            38,            45,            138,            1478.4,16,0,-44
,Amir Johnson_2012,TOR,25,64,22,42,1553,452,            196,            340,57.6,            2,            5,40.0,58,84,69.0,            149,            259,            408,            79,            94,            33,            69,            209,            1272.1,8,0,16
,Anderson Varejao_2012,CLE,29,25,10,15,785,271,            114,            222,51.4,            0,            4,0.0,43,64,67.2,            109,            178,            287,            43,            45,            35,            17,            62,            790.9,14,0,-17
,Andray Blatche_2012,WAS,25,26,7,19,626,221,            93,            245,38.0,            2,            7,28.6,33,49,67.3,            42,            108,            150,            28,            37,            20,            17,            54,            517.0,4,0,-152
,Andre Emmett_2012,NJN,29,6,2,4,45,13,            4,            7,57.1,            0,            1,0.0,5,8,62.5,            2,            4,            6,            1,            2,            2,            1,            2,            28.7,0,0,-7
,Andre Iguodala_2012,PHI,28,62,33,29,2209,771,            287,            632,45.4,            76,            193,39.4,121,196,61.7,            56,            325,            381,            339,            115,            107,            30,            92,            2032.7,8,1,218
,Andre Miller_2012,DEN,36,66,38,28,1809,639,            242,            552,43.8,            18,            83,21.7,137,169,81.1,            53,            168,            221,            441,            177,            63,            9,            133,            1604.7,8,0,169
,Andrea Bargnani_2012,TOR,26,31,13,18,1032,603,            209,            484,43.2,            34,            115,29.6,151,173,87.3,            24,            148,            172,            61,            69,            18,            15,            52,            930.9,2,0,-44
,Andres Nocioni_2012,PHI,32,11,9,2,56,17,            5,            20,25.0,            1,            6,16.7,6,11,54.5,            1,            13,            14,            1,            5,            1,            1,            4,            36.3,0,0,-21
,Andrew Bogut_2012,MIL,27,12,7,5,364,136,            61,            136,44.9,            0,            1,0.0,14,23,60.9,            22,            78,            100,            31,            24,            12,            24,            36,            386.5,3,0,19
,Andrew Bynum_2012,LAL,24,60,38,22,2112,1123,            444,            796,55.8,            1,            5,20.0,234,338,69.2,            192,            517,            709,            85,            152,            27,            116,            104,            2378.3,37,0,112
,Andrew Goudelock_2012,LAL,23,40,24,16,419,175,            68,            174,39.1,            28,            75,37.3,11,12,91.7,            5,            26,            31,            20,            21,            4,            0,            32,            233.2,0,0,-27
,Andris Biedrins_2012,GSW,26,47,17,30,739,79,            39,            64,60.9,            0,            0,0.0,1,9,11.1,            45,            131,            176,            16,            14,            23,            45,            125,            504.2,0,0,-118
,Antawn Jamison_2012,CLE,36,65,20,45,2151,1118,            421,            1044,40.3,            91,            267,34.1,185,271,68.3,            123,            285,            408,            131,            90,            51,            43,            164,            1996.1,7,0,-300
,Anthony Carter_2012,TOR,37,24,5,19,209,47,            17,            53,32.1,            5,            17,29.4,8,10,80.0,            5,            28,            33,            34,            17,            8,            4,            20,            156.6,0,0,-50
,Anthony Morrow_2012,NJN,26,62,20,42,1636,747,            272,            658,41.3,            106,            286,37.1,97,104,93.3,            31,            96,            127,            61,            70,            46,            9,            86,            1085.9,0,0,-92
,Anthony Parker_2012,CLE,37,51,15,36,1280,367,            141,            326,43.3,            50,            138,36.2,35,56,62.5,            10,            128,            138,            120,            50,            38,            7,            65,            797.6,0,0,-235
,Anthony Randolph_2012,MIN,22,34,10,24,517,252,            94,            200,47.0,            0,            1,0.0,64,84,76.2,            42,            81,            123,            19,            40,            13,            35,            56,            532.1,2,0,-39
,Anthony Tolliver_2012,MIN,27,51,17,34,882,208,            71,            182,39.0,            25,            101,24.8,41,55,74.5,            50,            103,            153,            22,            35,            18,            19,            86,            500.6,1,0,-35
,Armon Johnson_2012,NJN,23,9,2,7,124,47,            20,            43,46.5,            1,            3,33.3,6,6,100,            1,            12,            13,            11,            6,            5,            0,            9,            88.1,0,0,-17
,Arron Afflalo_2012,DEN,26,62,36,26,2086,943,            329,            699,47.1,            88,            221,39.8,197,247,79.8,            40,            157,            197,            149,            85,            36,            13,            134,            1464.9,1,0,33
,Austin Daye_2012,DET,24,41,14,27,603,194,            73,            227,32.2,            13,            62,21.0,35,43,81.4,            14,            77,            91,            33,            40,            22,            21,            62,            441.7,0,0,-142
,Avery Bradley_2012,BOS,21,64,39,25,1368,484,            200,            402,49.8,            22,            54,40.7,62,78,79.5,            34,            81,            115,            87,            75,            43,            12,            109,            842.5,0,0,96
,Baron Davis_2012,NYK,33,29,16,13,595,178,            68,            184,37.0,            26,            85,30.6,16,24,66.7,            13,            43,            56,            135,            76,            34,            3,            61,            482.7,1,0,40
,Ben Gordon_2012,DET,29,52,20,32,1398,648,            234,            530,44.2,            63,            147,42.9,117,136,86.0,            14,            107,            121,            127,            115,            34,            11,            114,            1003.7,0,0,-187
,Ben Uzoh_2012,TOR,24,18,7,11,370,81,            35,            99,35.4,            0,            1,0.0,11,19,57.9,            19,            48,            67,            61,            19,            17,            3,            31,            293.9,1,1,9
,Ben Wallace_2012,DET,37,62,24,38,980,85,            34,            86,39.5,            1,            4,25.0,16,47,34.0,            81,            188,            269,            43,            34,            47,            51,            60,            732.3,0,0,-104
,Beno Udrih_2012,MIL,29,59,28,31,1080,348,            146,            332,44.0,            17,            59,28.8,39,55,70.9,            26,            76,            102,            227,            77,            37,            1,            69,            847.9,0,0,216
,Bismack Biyombo_2012,CHA,19,63,7,56,1455,327,            129,            278,46.4,            0,            0,0.0,69,143,48.3,            113,            255,            368,            27,            71,            20,            115,            145,            1143.1,5,0,-462
,Blake Ahearn_2012,UTA,28,4,3,1,30,10,            4,            14,28.6,            2,            9,22.2,0,0,0.0,            0,            2,            2,            1,            5,            0,            0,            4,            8.9,0,0,-12
,Blake Griffin_2012,LAC,23,66,40,26,2392,1368,            561,            1022,54.9,            2,            16,12.5,244,468,52.1,            218,            499,            717,            210,            150,            54,            48,            216,            2699.4,41,0,334
,Bobby Simmons_2012,LAC,32,28,19,9,418,80,            28,            90,31.1,            20,            60,33.3,4,7,57.1,            17,            38,            55,            11,            10,            15,            3,            41,            206.5,0,0,-18
,Boris Diaw_2012,SAS,30,57,23,34,1425,365,            156,            351,44.4,            31,            99,31.3,22,35,62.9,            70,            210,            280,            205,            112,            34,            25,            125,            1073.5,3,0,-197
,Brad Miller_2012,MIN,36,15,3,12,146,35,            9,            27,33.3,            7,            15,46.7,10,12,83.3,            4,            15,            19,            24,            12,            4,            2,            10,            99.8,0,0,-13
,Brandan Wright_2012,DAL,24,49,28,21,791,340,            144,            233,61.8,            0,            1,0.0,52,82,63.4,            62,            112,            174,            13,            21,            22,            63,            61,            802.3,0,0,12
,Brandon Bass_2012,BOS,27,59,37,22,1868,738,            303,            632,47.9,            0,            0,0.0,132,163,81.0,            95,            270,            365,            55,            65,            34,            54,            135,            1457.5,7,0,157
,Brandon Jennings_2012,MIL,22,66,31,35,2331,1260,            469,            1121,41.8,            129,            388,33.2,193,239,80.8,            49,            177,            226,            365,            146,            104,            22,            114,            2310.7,6,0,-105
,Brandon Knight_2012,DET,20,66,25,41,2128,847,            319,            769,41.5,            105,            276,38.0,104,137,75.9,            33,            178,            211,            251,            171,            49,            10,            154,            1482.7,3,0,-258
,Brandon Rush_2012,GSW,26,65,23,42,1718,634,            235,            469,50.1,            99,            219,45.2,65,82,79.3,            33,            218,            251,            88,            68,            35,            58,            64,            1278.2,1,0,-78
,Brendan Haywood_2012,DAL,32,54,31,23,1146,281,            118,            228,51.8,            0,            0,0.0,45,96,46.9,            139,            185,            324,            19,            46,            24,            54,            121,            886.3,2,0,24
,Brian Cardinal_2012,DAL,35,44,24,20,277,43,            14,            55,25.5,            10,            49,20.4,5,6,83.3,            4,            30,            34,            16,            8,            8,            2,            38,            129.8,0,0,-55
,Brian Cook_2012,WAS,31,32,17,15,276,81,            31,            98,31.6,            10,            50,20.0,9,10,90.0,            10,            53,            63,            10,            11,            6,            5,            48,            193.6,0,0,-8
,Brian Scalabrine_2012,CHI,34,28,22,6,122,32,            14,            30,46.7,            1,            7,14.3,3,6,50.0,            8,            13,            21,            15,            9,            5,            6,            9,            103.7,0,0,13
,Brian Skinner_2012,MEM,36,1,0,1,4,0,            0,            1,0.0,            0,            0,0.0,0,0,0.0,            0,            0,            0,            0,            0,            0,            0,            1,            0.0,0,0,-7
,Brook Lopez_2012,NJN,24,5,2,3,136,96,            38,            77,49.4,            0,            0,0.0,20,32,62.5,            8,            10,            18,            6,            6,            1,            4,            8,            135.6,0,0,-27
,Byron Mullens_2012,CHA,23,65,7,58,1465,606,            251,            591,42.5,            12,            51,23.5,92,112,82.1,            96,            231,            327,            57,            74,            21,            52,            137,            1228.9,6,0,-364
,C.J. Watson_2012,CHI,28,49,36,13,1159,474,            161,            437,36.8,            68,            173,39.3,84,104,80.8,            21,            84,            105,            200,            97,            45,            8,            103,            962.0,1,0,38
,CJ Miles_2012,UTA,25,56,28,28,1145,508,            177,            465,38.1,            46,            150,30.7,108,136,79.4,            27,            89,            116,            69,            53,            46,            18,            122,            889.7,0,0,23
,Carl Landry_2012,NOH,28,41,13,28,999,511,            182,            362,50.3,            0,            3,0.0,147,184,79.9,            78,            136,            214,            38,            64,            13,            12,            89,            835.8,6,0,-71
,Carldell Johnson_2012,NOH,29,15,3,12,119,27,            11,            35,31.4,            4,            15,26.7,1,3,33.3,            1,            8,            9,            22,            7,            8,            0,            11,            87.8,0,0,10
,Carlos Boozer_2012,CHI,30,66,50,16,1948,991,            448,            842,53.2,            0,            1,0.0,95,137,69.3,            114,            450,            564,            125,            115,            63,            24,            168,            2001.3,18,0,273
,Carlos Delfino_2012,MIL,29,54,23,31,1537,488,            182,            453,40.2,            86,            239,36.0,38,48,79.2,            20,            188,            208,            123,            66,            79,            10,            99,            1123.1,0,0,-182
,Carmelo Anthony_2012,NYK,28,55,29,26,1876,1245,            441,            1025,43.0,            68,            203,33.5,295,367,80.4,            88,            256,            344,            200,            144,            62,            24,            156,            2071.8,8,1,108
,Caron Butler_2012,LAC,32,63,39,24,1871,753,            287,            705,40.7,            92,            257,35.8,87,107,81.3,            44,            186,            230,            78,            77,            52,            9,            123,            1252.0,1,0,283
,Cartier Martin_2012,WAS,27,17,9,8,391,158,            59,            134,44.0,            29,            75,38.7,11,19,57.9,            12,            46,            58,            10,            13,            11,            2,            35,            268.6,0,0,32
,Chandler Parsons_2012,HOU,23,63,33,30,1804,599,            248,            549,45.2,            60,            178,33.7,43,78,55.1,            90,            210,            300,            134,            81,            73,            29,            142,            1385.0,2,0,62
,Channing Frye_2012,PHX,29,64,33,31,1669,674,            255,            613,41.6,            91,            263,34.6,73,82,89.0,            71,            308,            379,            88,            63,            42,            70,            176,            1533.8,9,0,167
,Charles Jenkins_2012,GSW,23,51,15,36,893,297,            130,            291,44.7,            3,            20,15.0,34,39,87.2,            8,            60,            68,            170,            60,            33,            6,            85,            690.6,3,0,-222
,Charlie Villanueva_2012,DET,27,13,6,7,180,91,            35,            91,38.5,            15,            45,33.3,6,7,85.7,            9,            39,            48,            6,            7,            7,            5,            25,            186.6,0,0,-46
,Chase Budinger_2012,HOU,24,58,31,27,1298,558,            208,            471,44.2,            88,            219,40.2,54,70,77.1,            38,            179,            217,            74,            55,            29,            7,            65,            982.4,1,0,25
,Chauncey Billups_2012,LAC,35,20,14,6,607,299,            83,            228,36.4,            48,            125,38.4,85,95,89.5,            4,            46,            50,            80,            38,            9,            3,            40,            477.0,0,0,81
,Chris Andersen_2012,DEN,33,32,16,16,486,168,            59,            108,54.6,            0,            0,0.0,50,82,61.0,            48,            100,            148,            6,            17,            19,            46,            52,            532.6,0,0,26
,Chris Bosh_2012,MIA,28,57,42,15,2007,1025,            393,            807,48.7,            10,            35,28.6,229,279,82.1,            94,            358,            452,            103,            117,            51,            45,            128,            1892.9,11,0,388
,Chris Duhon_2012,ORL,29,63,36,27,1226,237,            85,            203,41.9,            50,            119,42.0,17,21,81.0,            14,            88,            102,            151,            81,            35,            9,            71,            636.9,0,0,-15
,Chris Johnson_2012,NOH,26,27,13,14,175,55,            20,            41,48.8,            0,            0,0.0,15,19,78.9,            15,            25,            40,            2,            15,            6,            9,            33,            136.0,0,0,-35
,Chris Kaman_2012,NOH,30,47,16,31,1372,616,            266,            597,44.6,            0,            0,0.0,84,107,78.5,            89,            275,            364,            101,            129,            25,            77,            106,            1381.3,15,0,-60
,Chris Paul_2012,LAC,27,60,37,23,2180,1189,            425,            890,47.8,            79,            213,37.1,260,302,86.1,            42,            171,            213,            543,            124,            152,            4,            138,            2603.1,23,0,328
,Chris Singleton_2012,WAS,22,66,20,46,1431,306,            116,            312,37.2,            44,            127,34.6,30,44,68.2,            43,            190,            233,            49,            38,            70,            30,            176,            921.1,0,0,-145
,Chris Wilcox_2012,BOS,29,28,15,13,481,152,            64,            107,59.8,            0,            0,0.0,24,39,61.5,            38,            84,            122,            12,            30,            11,            9,            64,            346.4,0,0,-45
,Chris Wright_2012,GSW,23,24,8,16,186,70,            23,            45,51.1,            0,            0,0.0,24,31,77.4,            19,            26,            45,            4,            8,            7,            13,            22,            182.0,0,0,-21
,Christian Eyenga_2012,LAL,23,7,2,5,103,17,            6,            25,24.0,            1,            3,33.3,4,8,50.0,            4,            10,            14,            5,            3,            3,            5,            7,            62.3,0,0,-37
,Chuck Hayes_2012,SAC,29,54,19,35,1039,172,            73,            170,42.9,            0,            2,0.0,26,39,66.7,            72,            162,            234,            77,            50,            36,            17,            111,            677.3,0,0,-165
,Cole Aldrich_2012,OKC,23,26,21,5,173,57,            22,            42,52.4,            0,            0,0.0,13,14,92.9,            13,            35,            48,            3,            9,            8,            16,            22,            182.1,0,0,-33
,Corey Brewer_2012,DEN,26,59,35,24,1287,525,            201,            463,43.4,            33,            127,26.0,90,130,69.2,            43,            107,            150,            88,            56,            72,            17,            113,            1048.0,0,0,19
,Corey Maggette_2012,CHA,32,32,6,26,881,480,            139,            373,37.3,            24,            66,36.4,178,208,85.6,            21,            104,            125,            39,            59,            23,            1,            83,            701.5,0,0,-275
,Cory Higgins_2012,CHA,23,38,1,37,423,150,            52,            160,32.5,            4,            20,20.0,42,60,70.0,            7,            28,            35,            36,            39,            5,            6,            40,            240.0,0,0,-116
,Cory Joseph_2012,SAS,20,29,21,8,266,58,            22,            70,31.4,            3,            15,20.0,11,17,64.7,            5,            20,            25,            34,            12,            7,            3,            16,            157.0,0,0,-56
,Courtney Fortson_2012,HOU,24,10,5,5,95,35,            11,            32,34.4,            3,            13,23.1,10,15,66.7,            6,            9,            15,            10,            10,            3,            0,            5,            67.0,0,0,-36
