,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
,AJ Price_2011,IND,24,50,22,28,795,323,            114,            320,35.6,            41,            149,27.5,54,81,66.7,            16,            56,            72,            111,            53,            29,            1,            61,            612.9,0,0,27
,Aaron Brooks_2011,PHX,26,59,26,33,1284,634,            220,            587,37.5,            70,            236,29.7,124,140,88.6,            20,            58,            78,            233,            99,            34,            3,            115,            1089.1,2,0,-165
,Aaron Gray_2011,NOH,26,41,21,20,531,129,            56,            99,56.6,            0,            0,0.0,17,34,50.0,            59,            112,            171,            16,            32,            11,            12,            96,            395.2,2,0,30
,Acie Law_2011,GSW,26,51,20,31,726,215,            81,            186,43.5,            6,            36,16.7,47,64,73.4,            12,            51,            63,            84,            43,            32,            0,            61,            469.6,0,0,-132
,Al Harrington_2011,DEN,31,73,45,28,1665,765,            281,            675,41.6,            117,            328,35.7,86,117,73.5,            76,            256,            332,            101,            106,            39,            10,            202,            1355.9,1,0,129
,Al Horford_2011,ATL,25,77,41,36,2704,1178,            513,            921,55.7,            2,            4,50.0,150,188,79.8,            182,            536,            718,            266,            119,            59,            80,            193,            2736.6,36,0,44
,Al Jefferson_2011,UTA,26,82,39,43,2940,1528,            654,            1319,49.6,            0,            0,0.0,220,289,76.1,            235,            559,            794,            149,            105,            46,            153,            238,            3196.3,37,0,-168
,Al Thornton_2011,GSW,27,71,21,50,1384,524,            205,            431,47.6,            4,            26,15.4,110,142,77.5,            56,            157,            213,            62,            64,            35,            12,            143,            949.6,0,0,-145
,Al-Farouq Aminu_2011,LAC,20,81,31,50,1452,457,            160,            406,39.4,            45,            143,31.5,92,119,77.3,            75,            192,            267,            60,            103,            59,            25,            121,            1016.4,0,0,-184
,Alexis Ajinca_2011,TOR,23,34,6,28,340,143,            59,            133,44.4,            12,            34,35.3,13,18,72.2,            17,            61,            78,            10,            18,            11,            19,            73,            323.6,0,0,7
,Alonzo Gee_2011,CLE,24,56,16,40,1117,331,            121,            264,45.8,            17,            51,33.3,72,92,78.3,            62,            120,            182,            38,            55,            40,            18,            94,            725.4,0,0,-272
,Amar'e Stoudemire_2011,NYK,28,78,39,39,2870,1971,            744,            1482,50.2,            10,            23,43.5,473,597,79.2,            198,            438,            636,            202,            250,            71,            150,            274,            3450.2,26,0,61
,Amir Johnson_2011,TOR,24,72,20,52,1853,688,            281,            495,56.8,            0,            1,0.0,126,160,78.8,            189,            272,            461,            81,            69,            53,            88,            263,            1716.7,11,0,-126
,Anderson Varejao_2011,CLE,28,31,8,23,994,282,            114,            216,52.8,            0,            2,0.0,54,81,66.7,            98,            203,            301,            45,            40,            27,            38,            87,            865.7,7,0,-171
,Andray Blatche_2011,WAS,24,64,21,43,2172,1076,            426,            957,44.5,            4,            18,22.2,220,283,77.7,            183,            343,            526,            144,            172,            98,            51,            182,            2198.2,17,0,-242
,Andre Iguodala_2011,PHI,27,67,36,31,2469,945,            338,            759,44.5,            61,            181,33.7,208,300,69.3,            61,            326,            387,            422,            138,            101,            38,            109,            2321.4,11,3,164
,Andre Miller_2011,POR,35,81,47,34,2650,1029,            388,            844,46.0,            4,            37,10.8,249,292,85.3,            97,            205,            302,            566,            197,            114,            12,            171,            2421.4,11,0,254
,Andrea Bargnani_2011,TOR,25,66,19,47,2353,1414,            525,            1173,44.8,            77,            223,34.5,287,350,82.0,            74,            269,            343,            119,            152,            34,            46,            160,            2092.1,2,0,-316
,Andrei Kirilenko_2011,UTA,30,64,33,31,1999,750,            253,            542,46.7,            36,            98,36.7,208,270,77.0,            100,            227,            327,            192,            117,            81,            74,            113,            1778.4,4,0,-33
