,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
,AJ Price_2013,WAS,26,57,21,36,1278,441,            161,            413,39.0,            70,            200,35.0,49,62,79.0,            20,            94,            114,            205,            64,            33,            3,            73,            929.3,1,0,-65
,Aaron Brooks_2013,HOU,28,53,20,33,997,376,            143,            316,45.3,            50,            134,37.3,40,52,76.9,            13,            67,            80,            114,            67,            30,            10,            94,            696.0,0,0,-201
,Aaron Gray_2013,TOR,28,42,14,28,513,119,            48,            90,53.3,            0,            0,0.0,23,44,52.3,            48,            85,            133,            33,            36,            7,            5,            85,            328.1,1,0,-87
,Al Harrington_2013,ORL,33,10,3,7,119,51,            20,            57,35.1,            8,            30,26.7,3,4,75.0,            6,            21,            27,            10,            7,            4,            1,            18,            106.4,0,0,-35
,Al Horford_2013,ATL,27,74,42,32,2756,1289,            576,            1060,54.3,            3,            6,50.0,134,208,64.4,            195,            562,            757,            240,            147,            78,            78,            163,            2878.4,43,0,164
,Al Jefferson_2013,UTA,28,78,41,37,2578,1391,            611,            1236,49.4,            2,            17,11.8,167,217,77.0,            156,            564,            720,            164,            105,            80,            89,            170,            2903.0,37,0,-159
,Al-Farouq Aminu_2013,NOH,22,76,25,51,2066,555,            225,            474,47.5,            4,            19,21.1,101,137,73.7,            139,            446,            585,            103,            116,            92,            51,            153,            1724.5,10,0,-76
,Alan Anderson_2013,TOR,30,65,31,34,1495,693,            236,            616,38.3,            95,            285,33.3,126,147,85.7,            34,            114,            148,            103,            80,            48,            7,            131,            1110.1,0,0,-80
,Alec Burks_2013,UTA,21,64,32,32,1137,451,            163,            388,42.0,            33,            92,35.9,92,129,71.3,            37,            108,            145,            92,            74,            35,            13,            114,            833.0,0,0,99
,Alexey Shved_2013,MIN,24,77,30,47,1840,665,            236,            635,37.2,            85,            288,29.5,108,150,72.0,            41,            134,            175,            286,            147,            54,            27,            117,            1400.0,2,0,-78
,Alonzo Gee_2013,CLE,26,82,24,58,2541,842,            305,            744,41.0,            69,            219,31.5,163,205,79.5,            75,            245,            320,            133,            132,            107,            29,            199,            1701.5,2,0,-350
,Amar'e Stoudemire_2013,NYK,30,29,16,13,682,413,            154,            267,57.7,            0,            0,0.0,105,130,80.8,            60,            85,            145,            13,            50,            10,            21,            89,            649.5,0,0,26
,Amir Johnson_2013,TOR,26,81,34,47,2325,813,            336,            606,55.4,            5,            13,38.5,136,187,72.7,            227,            384,            611,            122,            117,            81,            110,            301,            2185.2,15,0,213
,Anderson Varejao_2013,CLE,30,25,5,20,901,353,            138,            289,47.8,            0,            5,0.0,77,102,75.5,            138,            223,            361,            84,            44,            37,            14,            68,            1021.2,16,0,-75
,Andray Blatche_2013,BKN,26,82,49,33,1555,843,            346,            676,51.2,            3,            22,13.6,148,216,68.5,            161,            256,            417,            85,            123,            86,            54,            163,            1767.9,7,0,-25
,Andre Drummond_2013,DET,19,60,23,37,1243,476,            208,            342,60.8,            1,            2,50.0,59,159,37.1,            169,            288,            457,            30,            57,            59,            95,            144,            1474.4,9,0,-50
,Andre Iguodala_2013,DEN,29,80,57,23,2779,1038,            396,            879,45.1,            91,            287,31.7,155,270,57.4,            82,            341,            423,            433,            206,            139,            52,            127,            2562.1,10,1,380
,Andre Miller_2013,DEN,37,82,57,25,2151,786,            303,            632,47.9,            17,            64,26.6,163,194,84.0,            60,            178,            238,            484,            172,            73,            11,            159,            1877.6,4,0,209
,Andrea Bargnani_2013,TOR,27,35,10,25,1003,443,            170,            426,39.9,            38,            123,30.9,65,77,84.4,            26,            102,            128,            38,            54,            21,            23,            64,            731.6,0,0,-113
,Andrei Kirilenko_2013,MIN,32,64,26,38,2034,791,            284,            560,50.7,            35,            120,29.2,188,250,75.2,            102,            260,            362,            177,            119,            96,            62,            82,            1845.9,7,0,-27
,Andrew Bogut_2013,GSW,28,32,19,13,786,186,            83,            184,45.1,            1,            1,100,19,38,50.0,            68,            177,            245,            67,            35,            20,            55,            85,            770.5,1,0,37
,Andrew Goudelock_2013,LAL,24,1,1,0,6,0,            0,            2,0.0,            0,            0,0.0,0,0,0.0,            1,            0,            1,            0,            0,            0,            0,            0,            1.2,0,0,-12
,Andrew Nicholson_2013,ORL,23,75,18,57,1249,587,            256,            486,52.7,            0,            0,0.0,75,94,79.8,            69,            189,            258,            44,            79,            24,            32,            133,            1051.6,2,0,-157
,Andris Biedrins_2013,GSW,27,53,28,25,495,24,            10,            21,47.6,            0,            0,0.0,4,13,30.8,            34,            119,            153,            14,            14,            15,            42,            101,            385.6,0,0,-75
,Antawn Jamison_2013,LAL,37,76,41,35,1636,712,            267,            575,46.4,            84,            233,36.1,94,136,69.1,            109,            253,            362,            50,            53,            30,            22,            124,            1324.4,5,0,16
,Anthony Davis_2013,NOH,20,64,23,41,1846,867,            349,            676,51.6,            0,            6,0.0,169,225,75.1,            165,            357,            522,            63,            89,            75,            112,            158,            2059.9,20,0,-154
,Anthony Morrow_2013,DAL,27,41,25,16,383,164,            64,            145,44.1,            16,            43,37.2,20,22,90.9,            11,            19,            30,            13,            8,            13,            1,            43,            253.5,0,0,-56
,Anthony Randolph_2013,DEN,23,39,29,10,329,143,            56,            114,49.1,            0,            8,0.0,31,45,68.9,            29,            66,            95,            12,            37,            19,            21,            41,            358.0,1,0,4
,Anthony Tolliver_2013,ATL,28,62,28,34,963,253,            82,            216,38.0,            45,            133,33.8,44,51,86.3,            31,            124,            155,            32,            36,            15,            12,            66,            532.0,0,0,-63
,Arnett Moultrie_2013,PHI,22,47,20,27,542,174,            78,            134,58.2,            0,            0,0.0,18,28,64.3,            76,            69,            145,            10,            19,            17,            10,            43,            425.0,1,0,-84
,Aron Baynes_2013,SAS,26,16,11,5,141,43,            18,            36,50.0,            0,            1,0.0,7,12,58.3,            12,            20,            32,            5,            11,            1,            6,            23,            98.9,0,0,-2
,Arron Afflalo_2013,ORL,27,64,18,46,2307,1057,            397,            905,43.9,            72,            240,30.0,191,223,85.7,            29,            210,            239,            206,            138,            40,            11,            137,            1667.8,0,0,-321
,Austin Daye_2013,MEM,25,55,34,21,676,247,            90,            208,43.3,            41,            98,41.8,26,34,76.5,            16,            107,            123,            42,            29,            14,            22,            82,            536.6,0,0,22
,Austin Rivers_2013,NOH,20,61,21,40,1418,377,            145,            390,37.2,            28,            86,32.6,59,108,54.6,            16,            93,            109,            127,            74,            26,            9,            122,            729.3,0,0,-158
,Avery Bradley_2013,BOS,22,50,27,23,1435,461,            192,            478,40.2,            40,            126,31.7,37,49,75.5,            30,            81,            111,            104,            72,            64,            19,            129,            927.2,0,0,-44
,Ben Gordon_2013,CHA,30,75,19,56,1560,840,            310,            760,40.8,            113,            292,38.7,107,127,84.3,            18,            112,            130,            141,            136,            35,            16,            134,            1224.5,0,0,-430
,Ben Hansbrough_2013,IND,25,28,20,8,200,57,            15,            45,33.3,            6,            23,26.1,21,27,77.8,            2,            16,            18,            21,            18,            7,            2,            23,            119.1,0,0,-31
,Beno Udrih_2013,ORL,30,66,24,42,1457,538,            210,            476,44.1,            34,            102,33.3,84,103,81.6,            34,            107,            141,            302,            108,            41,            3,            90,            1184.2,3,0,-151
,Bernard James_2013,DAL,28,46,24,22,457,131,            53,            103,51.5,            0,            2,0.0,25,41,61.0,            52,            79,            131,            6,            18,            12,            38,            64,            429.2,0,0,-21
,Bismack Biyombo_2013,CHA,20,80,20,60,2186,386,            156,            346,45.1,            0,            0,0.0,74,142,52.1,            194,            388,            582,            35,            82,            28,            143,            195,            1567.9,7,0,-371
,Blake Griffin_2013,LAC,24,80,55,25,2598,1440,            577,            1072,53.8,            5,            28,17.9,281,426,66.0,            186,            476,            662,            299,            185,            97,            50,            231,            2938.9,28,1,387
,Boris Diaw_2013,SAS,31,75,55,20,1709,435,            179,            332,53.9,            30,            78,38.5,47,65,72.3,            66,            188,            254,            180,            84,            52,            27,            143,            1162.8,0,0,154
,Bradley Beal_2013,WAS,20,56,21,35,1745,780,            282,            687,41.0,            91,            236,38.6,125,159,78.6,            43,            168,            211,            137,            90,            50,            29,            113,            1385.7,3,0,-92
,Brandan Wright_2013,DAL,25,64,33,31,1149,541,            241,            404,59.7,            0,            3,0.0,59,96,61.5,            85,            175,            260,            38,            34,            26,            76,            78,            1182.0,1,0,100
,Brandon Bass_2013,BOS,28,81,41,40,2239,701,            286,            589,48.6,            0,            2,0.0,129,150,86.0,            129,            296,            425,            84,            80,            44,            64,            188,            1581.0,3,0,-176
,Brandon Jennings_2013,MIL,23,80,38,42,2897,1397,            497,            1247,39.9,            173,            461,37.5,230,281,81.9,            59,            187,            246,            521,            203,            125,            10,            155,            2675.7,13,0,-286
,Brandon Knight_2013,DET,21,75,29,46,2365,999,            357,            878,40.7,            120,            327,36.7,165,225,73.3,            54,            193,            247,            303,            205,            58,            8,            157,            1742.9,3,0,-122
,Brandon Roy_2013,MIN,28,5,4,1,122,29,            11,            35,31.4,            0,            9,0.0,7,10,70.0,            3,            11,            14,            23,            7,            3,            0,            5,            82.3,0,0,6
,Brandon Rush_2013,GSW,27,2,1,1,25,14,            6,            9,66.7,            0,            2,0.0,2,3,66.7,            0,            1,            1,            2,            3,            0,            0,            5,            15.2,0,0,6
,Brendan Haywood_2013,CHA,33,61,15,46,1162,216,            93,            216,43.1,            0,            1,0.0,30,66,45.5,            125,            165,            290,            29,            50,            16,            49,            125,            752.5,1,0,-175
,Brian Roberts_2013,NOH,27,78,26,52,1324,555,            213,            511,41.7,            59,            153,38.6,70,77,90.9,            17,            80,            97,            219,            71,            37,            3,            108,            1048.9,2,0,-172
,Brook Lopez_2013,BKN,25,74,46,28,2253,1437,            570,            1094,52.1,            0,            1,0.0,297,392,75.8,            208,            304,            512,            70,            131,            33,            154,            152,            2586.4,12,0,288
