,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
,Aaron McKie_2006,LAL,33,14,9,5,121,7,            3,            12,25.0,            0,            2,0.0,1,2,50.0,            3,            17,            20,            11,            2,            5,            0,            7,            60.5,0,0,-20
,Aaron Miles_2006,GSW,23,19,13,6,118,16,            6,            18,33.3,            0,            0,0.0,4,4,100,            0,            14,            14,            24,            11,            4,            1,            13,            72.8,0,0,-4
,Aaron Williams_2006,NOK,34,48,21,27,791,222,            91,            176,51.7,            0,            0,0.0,40,58,69.0,            64,            117,            181,            17,            30,            17,            21,            138,            548.7,1,0,-38
,Adonal Foyle_2006,GSW,31,77,32,45,1824,345,            152,            300,50.7,            0,            0,0.0,41,67,61.2,            143,            281,            424,            33,            80,            44,            125,            215,            1330.3,2,0,-27
,Adrian Griffin_2006,DAL,31,52,40,12,1245,237,            98,            204,48.0,            0,            2,0.0,41,53,77.4,            75,            152,            227,            89,            39,            51,            9,            113,            783.9,2,0,183
,Al Harrington_2006,ATL,26,76,24,52,2782,1411,            551,            1220,45.2,            66,            191,34.6,243,350,69.4,            132,            391,            523,            238,            195,            85,            14,            301,            2497.6,15,0,-333
,Al Jefferson_2006,BOS,21,59,23,36,1062,464,            189,            379,49.9,            0,            4,0.0,86,134,64.2,            97,            202,            299,            30,            62,            30,            46,            166,            1033.8,5,0,-109
,Alan Anderson_2006,CHA,23,36,7,29,564,207,            75,            181,41.4,            24,            58,41.4,33,41,80.5,            23,            47,            70,            32,            32,            11,            4,            48,            352.0,0,0,7
,Alan Henderson_2006,CLE,33,51,31,20,531,127,            47,            91,51.6,            0,            0,0.0,33,49,67.3,            60,            77,            137,            10,            22,            9,            12,            58,            347.4,1,0,-47
,Alex Acker_2006,DET,23,5,3,2,35,9,            4,            16,25.0,            1,            5,20.0,0,0,0.0,            1,            4,            5,            4,            4,            1,            0,            4,            20.0,0,0,-33
,Alex Scales_2006,SAS,27,1,1,0,0,0,            0,            0,0.0,            0,            0,0.0,0,0,0.0,            0,            0,            0,            0,            0,            0,            0,            0,            0.0,0,0,0
,Allen Iverson_2006,PHI,31,72,35,37,3103,2377,            815,            1822,44.7,            72,            223,32.3,675,829,81.4,            44,            188,            232,            532,            248,            140,            10,            121,            3655.4,18,0,-6
,Alonzo Mourning_2006,MIA,36,65,43,22,1302,509,            188,            315,59.7,            0,            1,0.0,133,224,59.4,            125,            234,            359,            11,            79,            13,            173,            177,            1435.3,9,0,236
,Alvin Williams_2006,TOR,31,1,0,1,10,1,            0,            3,0.0,            0,            2,0.0,1,2,50.0,            0,            3,            3,            0,            0,            0,            0,            0,            4.6,0,0,-5
,Amar'e Stoudemire_2006,PHX,23,3,2,1,50,26,            9,            27,33.3,            0,            1,0.0,8,9,88.9,            6,            10,            16,            2,            1,            1,            3,            4,            59.2,0,0,-4
,Amir Johnson_2006,DET,19,3,1,2,39,20,            7,            10,70.0,            2,            3,66.7,4,4,100,            3,            1,            4,            3,            4,            0,            2,            7,            31.3,0,0,-22
,Anderson Varejao_2006,CLE,23,48,29,19,760,219,            79,            150,52.7,            0,            1,0.0,61,119,51.3,            77,            158,            235,            19,            27,            31,            19,            118,            652.5,2,0,85
,Andray Blatche_2006,WAS,19,29,16,13,175,65,            26,            67,38.8,            3,            13,23.1,10,12,83.3,            12,            26,            38,            10,            12,            5,            7,            36,            149.6,0,0,-10
,Andre Barrett_2006,TOR,24,19,4,15,282,87,            38,            104,36.5,            2,            14,14.3,9,12,75.0,            9,            16,            25,            52,            15,            10,            0,            13,            210.0,0,0,-24
,Andre Iguodala_2006,PHI,22,82,38,44,3086,1007,            344,            688,50.0,            56,            158,35.4,263,349,75.4,            117,            364,            481,            255,            153,            135,            21,            198,            2281.7,7,0,-5
