,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
,Aaron Brooks_2008,HOU,23,51,36,15,608,264,            93,            225,41.3,            36,            109,33.0,42,49,85.7,            13,            43,            56,            87,            44,            13,            5,            69,            471.7,0,0,-4
,Aaron Gray_2008,CHI,23,61,23,38,613,262,            103,            204,50.5,            0,            1,0.0,56,99,56.6,            70,            98,            168,            41,            57,            21,            16,            117,            579.1,2,0,-21
,Aaron Williams_2008,LAC,36,30,9,21,297,68,            27,            55,49.1,            0,            0,0.0,14,18,77.8,            15,            46,            61,            9,            13,            12,            15,            44,            222.7,0,0,-99
,Acie Law_2008,ATL,23,56,25,31,865,235,            95,            237,40.1,            7,            34,20.6,38,48,79.2,            12,            45,            57,            113,            56,            29,            0,            73,            503.9,0,0,-120
,Adonal Foyle_2008,ORL,33,82,52,30,774,156,            70,            153,45.8,            0,            0,0.0,16,34,47.1,            71,            137,            208,            18,            32,            16,            45,            94,            583.6,0,0,-17
,Adrian Griffin_2008,SEA,33,35,10,25,307,65,            30,            76,39.5,            0,            0,0.0,5,9,55.6,            28,            31,            59,            27,            21,            17,            2,            27,            212.3,0,0,11
,Al Harrington_2008,GSW,28,81,48,33,2190,1102,            401,            923,43.4,            153,            408,37.5,147,190,77.4,            107,            332,            439,            132,            90,            74,            16,            266,            2006.8,7,0,157
,Al Horford_2008,ATL,22,81,37,44,2540,821,            333,            668,49.9,            0,            5,0.0,155,212,73.1,            248,            537,            785,            124,            137,            60,            76,            267,            2220.0,25,0,-114
,Al Jefferson_2008,MIN,23,82,22,60,2919,1726,            721,            1441,50.0,            0,            5,0.0,284,394,72.1,            308,            603,            911,            117,            167,            74,            119,            222,            3406.7,55,0,-549
,Al Thornton_2008,LAC,24,79,23,56,2158,1005,            374,            871,42.9,            43,            130,33.1,214,288,74.3,            98,            260,            358,            98,            128,            46,            43,            195,            1720.6,7,0,-404
,Alando Tucker_2008,PHX,24,6,6,0,48,22,            8,            22,36.4,            1,            4,25.0,5,6,83.3,            4,            4,            8,            0,            0,            0,            1,            2,            34.6,0,0,-6
,Alexander Johnson_2008,MIA,25,43,4,39,549,179,            61,            125,48.8,            0,            0,0.0,57,83,68.7,            32,            62,            94,            13,            42,            13,            10,            80,            338.3,1,0,-121
,Allen Iverson_2008,DEN,33,82,50,32,3424,2164,            712,            1556,45.8,            95,            275,34.5,645,797,80.9,            47,            196,            243,            586,            245,            160,            12,            109,            3605.6,15,0,360
,Alonzo Mourning_2008,MIA,38,25,7,18,389,149,            52,            95,54.7,            0,            0,0.0,45,76,59.2,            34,            59,            93,            7,            25,            4,            42,            56,            384.1,1,0,-25
,Amar'e Stoudemire_2008,PHX,25,79,53,26,2677,1989,            714,            1211,59.0,            5,            31,16.1,556,691,80.5,            178,            541,            719,            118,            174,            64,            163,            294,            3535.8,36,0,418
,Amir Johnson_2008,DET,21,62,49,13,764,221,            92,            165,55.8,            0,            0,0.0,37,55,67.3,            87,            148,            235,            29,            39,            24,            82,            141,            825.5,0,0,180
