,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
,A.J. Guyton_2002,CHI,24,45,10,35,604,244,            88,            244,36.1,            46,            123,37.4,22,27,81.5,            12,            32,            44,            81,            37,            10,            7,            23,            432.3,0,0,-43
,Aaron McKie_2002,PHI,29,48,26,22,1469,587,            220,            490,44.9,            51,            128,39.8,96,122,78.7,            26,            166,            192,            179,            93,            56,            14,            74,            1202.9,1,0,113
,Aaron Williams_2002,NJN,30,82,52,30,1550,592,            231,            439,52.6,            0,            2,0.0,130,186,69.9,            115,            224,            339,            77,            79,            29,            76,            212,            1350.3,0,0,122
,Adonal Foyle_2002,GSW,27,79,19,60,1485,379,            171,            385,44.4,            0,            0,0.0,37,93,39.8,            150,            234,            384,            41,            76,            36,            168,            179,            1437.3,3,0,-205
,Adrian Griffin_2002,DAL,27,58,40,18,1387,415,            179,            359,49.9,            16,            54,29.6,41,49,83.7,            68,            161,            229,            106,            42,            75,            12,            142,            1067.8,0,0,148
,Al Harrington_2002,IND,22,44,22,22,1309,576,            230,            484,47.5,            1,            3,33.3,115,144,79.9,            96,            180,            276,            54,            78,            41,            21,            166,            1096.2,5,0,-52
,Alan Henderson_2002,ATL,29,26,14,12,423,143,            59,            116,50.9,            1,            1,100,24,45,53.3,            31,            66,            97,            11,            21,            11,            15,            40,            332.9,1,0,32
,Allan Houston_2002,NYK,31,77,28,49,2915,1567,            568,            1301,43.7,            136,            346,39.3,295,339,87.0,            37,            215,            252,            190,            170,            54,            10,            182,            2176.4,1,0,-349
,Allen Iverson_2002,PHI,27,60,36,24,2624,1883,            665,            1669,39.8,            78,            268,29.1,475,585,81.2,            44,            225,            269,            331,            237,            168,            13,            102,            3008.3,4,1,283
,Alonzo Mourning_2002,MIA,32,75,34,41,2453,1178,            447,            866,51.6,            1,            3,33.3,283,431,65.7,            182,            450,            632,            87,            182,            27,            186,            258,            2523.9,26,0,51
,Alton Ford_2002,PHX,21,53,27,26,450,164,            61,            118,51.7,            0,            0,0.0,42,57,73.7,            32,            75,            107,            7,            32,            6,            7,            99,            309.9,0,0,-84
,Alvin Jones_2002,PHI,23,23,17,6,125,26,            8,            20,40.0,            0,            0,0.0,10,20,50.0,            13,            23,            36,            3,            11,            3,            9,            35,            98.7,0,0,-11
,Alvin Williams_2002,TOR,27,82,42,40,2933,971,            403,            971,41.5,            62,            193,32.1,103,140,73.6,            58,            223,            281,            468,            150,            135,            26,            191,            2343.2,2,0,-29
,Amal McCaskill_2002,SAS,28,27,22,5,153,52,            20,            49,40.8,            0,            0,0.0,12,26,46.2,            16,            20,            36,            4,            14,            6,            10,            23,            135.2,0,0,-58
,Andre Miller_2002,CLE,26,81,29,52,3019,1335,            474,            1045,45.4,            22,            87,25.3,365,447,81.7,            108,            271,            379,            882,            245,            126,            34,            228,            3347.8,43,3,-104
,Andrei Kirilenko_2002,UTA,21,82,44,38,2154,880,            285,            633,45.0,            25,            100,25.0,285,371,76.8,            149,            253,            402,            94,            108,            116,            159,            156,            2220.4,3,0,348
,Andrew DeClercq_2002,ORL,29,61,31,30,635,162,            67,            149,45.0,            0,            0,0.0,28,50,56.0,            74,            89,            163,            22,            34,            23,            23,            130,            494.6,0,0,-14
