,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
,AJ Price_2010,IND,23,56,23,33,865,410,            145,            354,41.0,            60,            174,34.5,60,75,80.0,            12,            76,            88,            106,            59,            35,            3,            53,            729.6,0,0,49
,Aaron Brooks_2010,HOU,25,82,42,40,2919,1604,            575,            1331,43.2,            209,            525,39.8,245,298,82.2,            54,            161,            215,            434,            232,            69,            14,            199,            2530.0,6,0,-26
,Aaron Gray_2010,NOH,25,32,11,21,311,104,            42,            82,51.2,            0,            0,0.0,20,28,71.4,            45,            61,            106,            22,            18,            9,            11,            54,            306.2,0,0,-13
,Acie Law_2010,CHI,25,26,11,15,234,113,            35,            75,46.7,            5,            16,31.3,38,49,77.6,            3,            14,            17,            26,            17,            11,            1,            16,            191.4,0,0,20
,Adam Morrison_2010,LAL,25,31,23,8,241,74,            32,            85,37.6,            5,            21,23.8,5,8,62.5,            10,            22,            32,            18,            10,            3,            2,            17,            144.4,0,0,-38
,Al Harrington_2010,NYK,30,72,26,46,2195,1276,            448,            1030,43.5,            140,            409,34.2,240,317,75.7,            88,            317,            405,            110,            132,            62,            26,            209,            2059.0,6,0,-225
,Al Horford_2010,ATL,24,81,52,29,2845,1148,            467,            847,55.1,            1,            1,100,213,270,78.9,            236,            563,            799,            189,            122,            59,            91,            225,            2718.3,39,0,458
,Al Jefferson_2010,MIN,25,76,15,61,2463,1301,            560,            1125,49.8,            0,            4,0.0,181,266,68.0,            180,            523,            703,            137,            136,            63,            98,            205,            2697.1,35,0,-516
,Al Thornton_2010,WAS,26,75,25,50,2079,804,            320,            676,47.3,            11,            31,35.5,153,211,72.5,            116,            178,            294,            90,            102,            45,            35,            206,            1429.8,3,0,-304
,Alando Tucker_2010,MIN,26,15,5,10,95,51,            17,            39,43.6,            1,            7,14.3,16,21,76.2,            6,            4,            10,            4,            5,            0,            0,            6,            64.0,0,0,-44
,Alexis Ajinca_2010,CHA,22,6,1,5,30,10,            5,            10,50.0,            0,            0,0.0,0,1,0.0,            1,            3,            4,            0,            2,            1,            1,            5,            18.8,0,0,4
,Allen Iverson_2010,PHI,35,28,10,18,864,385,            136,            316,43.0,            9,            25,36.0,104,131,79.4,            16,            63,            79,            113,            64,            19,            2,            48,            648.3,0,0,-42
,Alonzo Gee_2010,WAS,23,11,0,11,182,81,            28,            59,47.5,            7,            9,77.8,18,29,62.1,            15,            18,            33,            7,            10,            7,            1,            13,            145.1,1,0,-5
