,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
,Aaron Brooks_2009,HOU,24,80,52,28,1998,894,            316,            783,40.4,            113,            309,36.6,149,172,86.6,            33,            124,            157,            238,            125,            46,            8,            152,            1476.4,2,0,170
,Aaron Gray_2009,CHI,24,56,26,30,715,196,            81,            167,48.5,            0,            1,0.0,34,59,57.6,            84,            136,            220,            46,            40,            14,            18,            135,            585.0,1,0,-52
,Acie Law_2009,ATL,24,55,33,22,560,162,            52,            139,37.4,            9,            29,31.0,49,60,81.7,            6,            52,            58,            86,            29,            11,            3,            43,            373.6,0,0,-2
,Adam Morrison_2009,LAL,24,52,23,29,711,209,            80,            223,35.9,            32,            96,33.3,17,23,73.9,            18,            62,            80,            41,            32,            9,            4,            77,            373.5,0,0,-107
,Adonal Foyle_2009,ORL,34,10,6,4,62,17,            7,            11,63.6,            0,            0,0.0,3,6,50.0,            9,            17,            26,            1,            3,            0,            8,            5,            70.7,0,0,-10
,Al Harrington_2009,NYK,29,73,27,46,2546,1469,            532,            1212,43.9,            171,            470,36.4,234,295,79.3,            99,            356,            455,            102,            161,            88,            22,            227,            2337.0,10,0,-73
,Al Horford_2009,ATL,23,67,41,26,2242,773,            312,            594,52.5,            0,            1,0.0,149,205,72.7,            145,            479,            624,            163,            103,            53,            95,            190,            2107.3,20,0,16
,Al Jefferson_2009,MIN,24,50,17,33,1836,1156,            485,            975,49.7,            0,            4,0.0,186,252,73.8,            172,            376,            548,            79,            92,            39,            83,            141,            2206.1,30,0,-104
,Al Thornton_2009,LAC,25,71,16,55,2654,1194,            469,            1051,44.6,            20,            79,25.3,236,313,75.4,            122,            246,            368,            103,            130,            59,            62,            227,            2023.1,1,0,-565
,Alando Tucker_2009,PHX,25,30,15,15,282,138,            52,            121,43.0,            8,            23,34.8,26,33,78.8,            19,            12,            31,            12,            14,            5,            1,            14,            197.2,0,0,18
,Alex Acker_2009,LAC,26,25,4,21,200,72,            30,            76,39.5,            7,            20,35.0,5,10,50.0,            8,            16,            24,            12,            7,            5,            4,            9,            138.8,0,0,1
,Alexis Ajinca_2009,CHA,21,31,11,20,182,70,            25,            69,36.2,            0,            2,0.0,20,28,71.4,            9,            21,            30,            3,            12,            7,            6,            34,            137.5,0,0,6
,Allen Iverson_2009,DET,34,57,25,32,2092,995,            348,            834,41.7,            28,            99,28.3,271,347,78.1,            30,            143,            173,            283,            146,            88,            6,            86,            1763.1,2,0,-46
,Amar'e Stoudemire_2009,PHX,26,53,30,23,1948,1134,            404,            749,53.9,            3,            7,42.9,323,387,83.5,            116,            314,            430,            104,            150,            49,            57,            163,            1974.0,16,0,114
,Amir Johnson_2009,DET,22,62,27,35,911,217,            97,            163,59.5,            0,            0,0.0,23,35,65.7,            102,            130,            232,            20,            33,            20,            60,            171,            732.4,2,0,70
,Anderson Varejao_2009,CLE,26,81,65,16,2306,694,            270,            504,53.6,            0,            2,0.0,154,250,61.6,            166,            415,            581,            81,            80,            75,            66,            239,            1855.7,9,0,440
,Andray Blatche_2009,WAS,22,71,17,54,1703,713,            297,            630,47.1,            5,            21,23.8,114,162,70.4,            126,            252,            378,            118,            117,            53,            74,            211,            1607.6,7,0,-198
,Andre Brown_2009,CHA,28,4,2,2,41,4,            1,            7,14.3,            0,            0,0.0,2,2,100,            7,            5,            12,            1,            5,            1,            0,            9,            17.9,0,0,-5
,Andre Iguodala_2009,PHI,25,82,41,41,3269,1541,            542,            1147,47.3,            80,            261,30.7,377,521,72.4,            92,            379,            471,            434,            222,            131,            36,            152,            3036.2,11,0,124
,Andre Miller_2009,PHI,33,82,41,41,2976,1337,            492,            1041,47.3,            15,            53,28.3,338,409,82.6,            123,            245,            368,            534,            199,            109,            14,            196,            2749.6,12,2,111
,Andrea Bargnani_2009,TOR,23,78,30,48,2453,1202,            431,            958,45.0,            119,            291,40.9,221,266,83.1,            70,            346,            416,            94,            135,            34,            97,            242,            2100.2,6,0,-248
,Andrei Kirilenko_2009,UTA,28,67,42,25,1831,776,            256,            570,44.9,            20,            73,27.4,244,311,78.5,            84,            235,            319,            175,            121,            83,            77,            127,            1780.3,6,0,265
,Andres Nocioni_2009,SAC,29,76,27,49,1992,867,            299,            701,42.7,            124,            311,39.9,145,183,79.2,            54,            307,            361,            102,            113,            39,            33,            261,            1556.2,3,0,0
,Andrew Bogut_2009,MIL,24,36,19,17,1124,422,            183,            317,57.7,            0,            0,0.0,56,98,57.1,            117,            252,            369,            72,            86,            23,            37,            130,            1066.8,16,0,91
,Andrew Bynum_2009,LAL,21,50,40,10,1446,714,            281,            502,56.0,            0,            0,0.0,152,215,70.7,            137,            261,            398,            71,            85,            18,            90,            157,            1537.1,16,0,235
,Andris Biedrins_2009,GSW,23,62,20,42,1863,735,            308,            533,57.8,            0,            1,0.0,119,216,55.1,            223,            470,            693,            121,            110,            63,            96,            236,            2115.1,28,0,-185
,Antawn Jamison_2009,WAS,33,81,19,62,3096,1801,            674,            1441,46.8,            112,            319,35.1,341,452,75.4,            196,            525,            721,            153,            125,            95,            25,            218,            3130.7,38,0,-480
,Anthony Carter_2009,DEN,34,78,53,25,1787,412,            167,            386,43.3,            21,            88,23.9,57,78,73.1,            40,            165,            205,            364,            155,            96,            13,            142,            1376.0,0,0,69
,Anthony Johnson_2009,ORL,34,80,58,22,1481,421,            154,            381,40.4,            52,            133,39.1,61,81,75.3,            29,            118,            147,            200,            82,            46,            5,            111,            968.4,0,0,111
,Anthony Morrow_2009,GSW,23,67,23,44,1515,676,            255,            534,47.8,            86,            184,46.7,80,92,87.0,            78,            121,            199,            80,            52,            36,            12,            130,            1126.8,2,0,-56
,Anthony Parker_2009,TOR,34,80,31,49,2636,857,            321,            754,42.6,            94,            241,39.0,121,145,83.4,            45,            272,            317,            269,            114,            100,            15,            145,            1871.9,0,0,-91
,Anthony Randolph_2009,GSW,19,63,21,42,1129,499,            199,            431,46.2,            0,            4,0.0,101,141,71.6,            128,            235,            363,            49,            80,            42,            74,            141,            1276.1,8,0,-94
,Anthony Roberson_2009,CHI,26,29,11,18,276,119,            44,            120,36.7,            26,            81,32.1,5,5,100,            6,            16,            22,            20,            8,            10,            1,            18,            200.4,0,0,-54
,Anthony Tolliver_2009,SAS,24,19,14,5,208,52,            19,            65,29.2,            9,            41,22.0,5,10,50.0,            12,            29,            41,            17,            7,            5,            1,            16,            137.7,0,0,6
,Antoine Wright_2009,DAL,25,65,38,27,1552,474,            179,            431,41.5,            45,            149,30.2,71,95,74.7,            31,            105,            136,            77,            54,            46,            27,            172,            917.7,0,0,54
,Antonio Daniels_2009,NOH,34,74,40,34,1021,300,            99,            236,41.9,            22,            60,36.7,80,100,80.0,            5,            72,            77,            177,            62,            26,            1,            55,            676.9,0,0,-215
,Antonio McDyess_2009,DET,34,62,28,34,1866,596,            268,            525,51.0,            0,            0,0.0,60,86,69.8,            185,            422,            607,            83,            51,            41,            50,            191,            1670.9,16,0,-69
,Arron Afflalo_2009,DET,23,74,36,38,1234,363,            131,            300,43.7,            43,            107,40.2,58,71,81.7,            30,            104,            134,            44,            43,            28,            13,            144,            669.8,0,0,-40
,Austin Croshere_2009,SAS,34,14,7,7,100,40,            14,            39,35.9,            5,            15,33.3,7,12,58.3,            11,            23,            34,            9,            6,            1,            1,            5,            94.3,0,0,-29
,Baron Davis_2009,LAC,30,65,17,48,2248,968,            355,            959,37.0,            99,            328,30.2,159,210,75.7,            46,            192,            238,            501,            193,            108,            35,            193,            2241.1,13,0,-353
,Ben Gordon_2009,CHI,26,82,41,41,2999,1699,            598,            1315,45.5,            173,            422,41.0,330,382,86.4,            52,            231,            283,            279,            200,            71,            22,            184,            2536.1,0,0,24
,Ben Wallace_2009,CLE,34,56,45,11,1314,165,            69,            155,44.5,            0,            0,0.0,27,64,42.2,            136,            226,            362,            44,            34,            48,            75,            82,            1000.4,0,0,432
,Beno Udrih_2009,SAC,26,73,14,59,2270,800,            321,            696,46.1,            35,            113,31.0,123,150,82.0,            46,            174,            220,            342,            158,            81,            12,            192,            1698.0,1,0,-361
,Blake Ahearn_2009,SAS,25,3,2,1,19,8,            2,            6,33.3,            2,            4,50.0,2,2,100,            0,            1,            1,            2,            1,            1,            0,            3,            14.2,0,0,8
,Bobby Brown_2009,MIN,24,68,13,55,931,361,            141,            360,39.2,            45,            130,34.6,34,43,79.1,            14,            38,            52,            117,            63,            21,            3,            95,            607.9,0,0,-197
,Bobby Jackson_2009,SAC,36,71,16,55,1484,532,            193,            485,39.8,            60,            197,30.5,86,101,85.1,            42,            158,            200,            143,            66,            62,            4,            100,            1118.5,2,0,-187
,Bobby Simmons_2009,NJN,29,71,30,41,1729,556,            198,            441,44.9,            117,            262,44.7,43,58,74.1,            72,            205,            277,            92,            62,            50,            10,            186,            1144.4,1,0,12
,Boris Diaw_2009,CHA,27,81,41,40,2754,1072,            448,            884,50.7,            75,            181,41.4,101,147,68.7,            118,            314,            432,            333,            215,            61,            53,            202,            2216.9,8,0,74
,Brad Miller_2009,CHI,33,70,25,45,2100,831,            292,            614,47.6,            23,            56,41.1,224,272,82.4,            150,            395,            545,            234,            130,            52,            36,            223,            1970.0,16,0,-128
,Brandan Wright_2009,GSW,21,39,11,28,688,323,            130,            246,52.8,            0,            4,0.0,63,85,74.1,            62,            95,            157,            21,            23,            22,            37,            74,            696.9,2,0,-66
,Brandon Bass_2009,DAL,24,81,49,32,1574,686,            252,            508,49.6,            0,            6,0.0,182,210,86.7,            129,            238,            367,            43,            86,            27,            55,            140,            1350.9,4,0,76
,Brandon Roy_2009,POR,24,78,52,26,2903,1765,            633,            1318,48.0,            83,            220,37.7,416,505,82.4,            104,            266,            370,            400,            152,            88,            22,            127,            2987.0,3,0,504
,Brandon Rush_2009,IND,23,75,33,42,1803,610,            243,            575,42.3,            78,            209,37.3,46,66,69.7,            34,            199,            233,            66,            75,            38,            37,            128,            1138.6,2,0,-179
,Brendan Haywood_2009,WAS,29,6,2,4,175,58,            24,            50,48.0,            0,            0,0.0,10,21,47.6,            13,            31,            44,            8,            9,            4,            15,            14,            170.8,2,0,-28
,Brent Barry_2009,HOU,37,56,34,22,857,208,            70,            172,40.7,            49,            131,37.4,19,20,95.0,            17,            77,            94,            78,            48,            24,            3,            45,            470.8,0,0,17
,Brevin Knight_2009,UTA,33,74,43,31,938,180,            66,            189,34.9,            0,            6,0.0,48,64,75.0,            13,            75,            88,            190,            66,            68,            4,            98,            720.6,0,0,80
