,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
,A.C. Green_2001,MIA,37,82,50,32,1412,367,            144,            324,44.4,            0,            6,0.0,79,111,71.2,            107,            206,            313,            39,            45,            30,            8,            119,            870.1,3,0,104
,A.J. Guyton_2001,CHI,23,33,6,27,629,198,            78,            192,40.6,            27,            69,39.1,15,18,83.3,            10,            26,            36,            64,            24,            9,            5,            35,            355.2,0,0,-145
,Aaron McKie_2001,PHI,28,76,51,25,2391,878,            338,            714,47.3,            53,            170,31.2,149,194,76.8,            33,            278,            311,            377,            203,            106,            8,            178,            1955.7,8,2,334
,Aaron Williams_2001,NJN,29,82,26,56,2334,838,            297,            650,45.7,            0,            2,0.0,244,310,78.7,            211,            379,            590,            88,            132,            59,            113,            319,            2062.0,12,0,-381
,Adam Keefe_2001,GSW,31,67,14,53,842,168,            64,            159,40.3,            1,            3,33.3,39,63,61.9,            90,            119,            209,            36,            40,            28,            20,            102,            576.8,0,0,-172
,Adonal Foyle_2001,GSW,26,58,8,50,1460,342,            156,            375,41.6,            0,            0,0.0,30,68,44.1,            156,            249,            405,            48,            79,            31,            156,            136,            1382.0,7,0,-316
,Adrian Griffin_2001,BOS,26,44,16,28,376,93,            33,            97,34.0,            9,            26,34.6,18,24,75.0,            27,            60,            87,            27,            18,            18,            5,            45,            288.9,0,0,-41
,Al Harrington_2001,IND,21,78,39,39,1893,586,            241,            543,44.4,            1,            7,14.3,103,157,65.6,            119,            262,            381,            130,            148,            63,            18,            223,            1333.2,8,0,-25
,Alan Henderson_2001,ATL,28,73,20,53,1808,769,            298,            671,44.4,            0,            1,0.0,173,271,63.8,            180,            226,            406,            50,            126,            51,            29,            164,            1445.2,11,0,-263
,Allan Houston_2001,NYK,30,78,45,33,2858,1459,            542,            1208,44.9,            96,            252,38.1,279,307,90.9,            20,            263,            283,            173,            161,            52,            10,            190,            2083.1,0,0,116
,Allen Iverson_2001,PHI,26,71,50,21,2976,2207,            762,            1813,42.0,            98,            306,32.0,585,719,81.4,            50,            223,            273,            325,            237,            178,            20,            147,            3379.1,4,0,371
,Alonzo Mourning_2001,MIA,31,13,8,5,306,177,            73,            141,51.8,            0,            1,0.0,31,55,56.4,            35,            66,            101,            12,            28,            4,            31,            24,            393.2,2,0,28
,Alvin Williams_2001,TOR,26,82,47,35,2391,802,            330,            767,43.0,            33,            108,30.6,109,145,75.2,            50,            162,            212,            407,            103,            123,            26,            171,            2010.9,8,1,155
,Andre Miller_2001,CLE,25,82,30,52,2847,1296,            452,            999,45.2,            17,            64,26.6,375,450,83.3,            94,            266,            360,            657,            265,            119,            28,            229,            2889.5,22,0,-54
,Andrew DeClercq_2001,ORL,28,67,37,30,900,261,            107,            193,55.4,            0,            0,0.0,47,82,57.3,            91,            145,            236,            32,            51,            41,            33,            198,            763.2,0,0,115
,Andy Panko_2001,ATL,23,1,1,0,1,0,            0,            0,0.0,            0,            0,0.0,0,0,0.0,            0,            0,            0,            0,            0,            0,            0,            0,            0.0,0,0,0
,Anfernee Hardaway_2001,PHX,29,4,2,2,110,39,            15,            36,41.7,            2,            8,25.0,7,11,63.6,            5,            13,            18,            15,            3,            6,            1,            6,            101.1,0,0,-7
,Antawn Jamison_2001,GSW,25,82,17,65,3393,2044,            800,            1812,44.2,            62,            205,30.2,382,534,71.5,            280,            435,            715,            164,            199,            114,            28,            225,            3375.0,33,0,-559
,Anthony Carter_2001,MIA,26,72,43,29,1634,461,            195,            480,40.6,            6,            40,15.0,65,103,63.1,            46,            134,            180,            268,            119,            73,            10,            154,            1209.0,0,0,57
,Anthony Goldwire_2001,DEN,29,20,8,12,200,82,            30,            80,37.5,            9,            34,26.5,13,17,76.5,            1,            11,            12,            34,            15,            9,            0,            13,            159.4,0,0,-20
,Anthony Johnson_2001,CLE,26,53,16,37,511,130,            53,            152,34.9,            1,            5,20.0,23,33,69.7,            10,            34,            44,            78,            34,            23,            6,            62,            352.8,0,0,-108
,Anthony Mason_2001,MIA,34,80,49,31,3255,1290,            460,            954,48.2,            0,            0,0.0,370,474,78.1,            169,            601,            770,            248,            179,            80,            25,            231,            2722.0,36,0,110
,Anthony Miller_2001,PHI,29,4,1,3,11,2,            1,            2,50.0,            0,            0,0.0,0,0,0.0,            0,            2,            2,            0,            1,            0,            0,            1,            3.4,0,0,-7
,Anthony Peeler_2001,MIN,31,75,42,33,2122,791,            308,            732,42.1,            100,            256,39.1,75,87,86.2,            44,            148,            192,            192,            105,            91,            18,            166,            1531.4,1,0,80
,Antoine Walker_2001,BOS,24,81,35,46,3393,1892,            711,            1720,41.3,            221,            603,36.7,249,348,71.6,            151,            568,            719,            445,            301,            138,            49,            251,            3682.3,38,5,-118
,Antonio Daniels_2001,SAS,26,79,55,24,2063,745,            275,            588,46.8,            74,            183,40.4,121,156,77.6,            26,            137,            163,            304,            109,            61,            14,            120,            1512.6,2,0,157
,Antonio Davis_2001,TOR,32,78,46,32,2731,1069,            375,            866,43.3,            0,            1,0.0,319,423,75.4,            274,            513,            787,            106,            135,            22,            151,            230,            2556.4,37,0,248
,Antonio Harvey_2001,POR,30,12,6,6,71,31,            13,            28,46.4,            0,            0,0.0,5,6,83.3,            5,            9,            14,            4,            3,            1,            6,            10,            71.8,0,0,-25
,Antonio McDyess_2001,DEN,26,70,34,36,2557,1458,            577,            1165,49.5,            0,            0,0.0,304,434,70.0,            240,            605,            845,            146,            162,            43,            102,            220,            2964.0,51,0,10
,Art Long_2001,SAC,28,9,8,1,19,0,            0,            4,0.0,            0,            0,0.0,0,2,0.0,            2,            6,            8,            1,            2,            0,            3,            5,            18.1,0,0,-11
,Arvydas Sabonis_2001,POR,36,61,37,24,1295,616,            247,            516,47.9,            1,            15,6.7,121,156,77.6,            51,            280,            331,            91,            85,            40,            62,            137,            1370.7,3,0,245
,Austin Croshere_2001,IND,26,81,40,41,1874,822,            276,            701,39.4,            70,            207,33.8,200,231,86.6,            123,            264,            387,            92,            136,            36,            50,            180,            1546.4,8,0,32
,Avery Johnson_2001,SAS,36,55,40,15,1288,310,            134,            300,44.7,            1,            6,16.7,41,60,68.3,            21,            64,            85,            237,            60,            33,            4,            90,            818.5,0,0,178
,Baron Davis_2001,CHH,22,82,46,36,3189,1131,            409,            957,42.7,            85,            274,31.0,228,337,67.7,            129,            279,            408,            598,            226,            170,            36,            267,            2909.6,11,2,267
,Ben Wallace_2001,DET,26,80,32,48,2761,513,            216,            440,49.1,            1,            4,25.0,80,238,33.6,            303,            749,            1052,            123,            117,            107,            186,            192,            2721.9,12,0,36
,Bill Curley_2001,GSW,29,20,7,13,192,63,            25,            47,53.2,            1,            2,50.0,12,19,63.2,            21,            16,            37,            3,            16,            7,            9,            45,            143.9,0,0,-35
,Billy Owens_2001,DET,32,45,15,30,796,198,            88,            230,38.3,            3,            20,15.0,19,40,47.5,            84,            121,            205,            55,            39,            32,            12,            93,            619.5,1,0,-19
